id,severity,area,title,evidence,recommended_fix,acceptance,depends_on,effort,status
AM-B01,Blocker,CI/Provenance,当前 main Actions 失败,Actions run 32839277223 metadata provenance step failed; import-smoke skipped,修复当前 provenance source/profile/publish registrations；建立 required green baseline,verify-provenance exit 0; all current required checks green,,L,OPEN
AM-B02,Blocker,Governance,Issue 关闭状态与 acceptance 不一致,T18/T25/T27 closed while checkboxes/commands/artifacts incomplete,重开或标记 closed-not-accepted；机器验证后才能关闭,Acceptance bot validates commands/artifacts/commit/review,AM-B01,M,OPEN
AM-B03,Blocker,Compiler,默认 compile 只建立 Run bootstrap,api.compile_task -> InMemoryCompiler.start; package deferred,实现 application orchestrator 和 durable compile state machine,"Raw task reaches formal spec, env binding, package and terminal result","AM-B01,AM-B02",XL,OPEN
AM-B04,Blocker,Adapters,Production config 可到达 scripted/deferred adapters,ScriptedLocalLlmRuntime/EvidenceGateway/TrainingRunner/RemoteEnv deferred,production adapter registry fail closed；scripted adapters 移到 tests,No deferred adapter in production preflight,AM-B01,L,OPEN
AM-B05,Blocker,Formalization,核心 kernel/reward/predicate 为自由字符串,"decision_process.py transition_kernel, initial_distribution, expression, predicate etc.",实现 typed AST/kernel/distribution/predicate DSL 与 interpreter,Type/shape/symbol/probability checks and differential fixtures pass,AM-B01,XL,OPEN
AM-B06,Blocker,Classification,Decision process kind 由调用方/LLM填写,ClassificationResult label + free-text rationale,实现 ClassificationFacts 和 deterministic ClassificationProof,Facts uniquely derive MDP/POMDP/MG/POSG or clarification/OOD,AM-B05,L,OPEN
AM-B07,Blocker,Runtime,Suite adapter 跨 profile 持有 Python backend,RemoteGymnasiumEnv/lifecycles are in-process despite isolation ADR,实现 profile-local worker + canonical RemoteEnv transport,Cross-profile object sharing negative test fails; real worker smoke passes,AM-B01,XL,OPEN
AM-B08,Blocker,Training,无生产 RLlib TrainingRunner,rllib_training.py primarily schemas/Protocol,实现 pinned RLlib build/train/save/restore/evaluate runner,Clean profile CPU smoke and restore/evaluate pass,AM-B07,XL,OPEN
AM-B09,Blocker,Integrity,Smoke/audit passed 可自报,passed bool independent of failures/leaks,用 raw attempts + derived result factories,Contradictory payloads impossible to construct,AM-B01,L,OPEN
AM-B10,Blocker,Statistics,统计结论可自报且无计算引擎,CI/p/Holm/rejected/non_inferior result models caller-filled,实现 exact grid/bootstrap/Holm/NI/power functions,All results rebuilt byte-for-byte from raw observations,AM-B09,XL,OPEN
AM-B11,Blocker,Benchmark,Grid/strata 仅校验计数,Duplicate cells can satisfy total counts,校验 exact Cartesian key set、唯一性、canonical order,Any duplicate/omission/substitution rejected,AM-B09,M,OPEN
AM-B12,Blocker,Experiments,预注册 experiment CLI 未实现,Plan lists preflight/generate/train/evaluate/analyze but current CLI lacks them,实现 experiment application/CLI/artifact schemas,Small engineering matrix executes end-to-end,"AM-B03,AM-B08,AM-B10",XL,OPEN
AM-B13,Blocker,Release,Release status 可自报且无 redactor/publisher,release_pipeline models only,实现 isolated redactor/fixed renderer/publisher/derived gate,Empty checks cannot release; bundle independently verifies,AM-B09,XL,OPEN
AM-B14,Blocker,Profiles,无 runtime-verified profile,Qwen attached_unverified; others recipe_frozen/restricted,实现 build/import/behavior/current-connection attestations,Each used profile has signed fresh runtime evidence,AM-B01,XL,OPEN
AM-B15,Blocker,Repository,后期实验结果未进入 ArtifactRepository 完整注册,Late-stage models not consistently schema/parent/projector registered,"注册 artifact kinds, parents, schemas, projections",Training/statistics/release results have immutable lineage,AM-B09,L,OPEN
AM-B16,Blocker,Supply chain,同仓 source hash allowlist/lexical token policy 易碎,provenance.py embeds expected hashes and restricted byte tokens,CI-generated manifests + external build attestations; structural source policy,Normal docs change no manual source-hash update; release attestation verifies,AM-B01,XL,OPEN
AM-H01,High,Maintainability,多个巨型模块,repository.py/fixed_commit_runner.py/lifecycle.py/provenance.py very large,按 domain/application/adapter 拆分且保持 public seam,No parallel bypass; seam regression suite green,AM-B01,XL,OPEN
AM-H02,High,CI,只有有限 provenance workflow,No complete lint/type/full/build/security required matrix,增加 static/unit/contract/integration/security/build/docs workflows,All jobs required on PR/merge_group/main,AM-B01,L,OPEN
AM-H03,High,Governance,缺独立 PR/code review 证据,Repository query found no PR history for large changes,启用 ruleset/CODEOWNERS/reviews,Direct feature push to main blocked,AM-B02,M,OPEN
AM-H04,High,Suites,环境 API 未完全对齐 Gymnasium/PettingZoo,Custom wrappers/backends and nonstandard spaces,继承官方 Env/ParallelEnv 并跑官方 tests,check_env/parallel_api_test/seed tests pass,AM-B07,XL,OPEN
AM-H05,High,Profiles,Readiness 恒 WAITING,formal readiness functions never consume actual attestations,实现 attestation-backed readiness resolver,READY only after build/import/behavior attestations,AM-B14,L,OPEN
AM-H06,High,Training,RLlib 新旧 API 混用风险,Old fields such as num_gpus/eager tracing are deprecated on new stack,基于 pinned version introspection 构建 PPOConfig,config.validate and algorithm build pass on exact profile,AM-B08,L,OPEN
AM-H07,High,Training,Multi-agent/CTDE 判定循环,Detection inferred from CTDE configuration itself,从 suite/spec agent cardinality and info structure 派生,Non-CTDE multi-agent cannot bypass multi-agent validation,AM-B06,M,OPEN
AM-H08,High,Seeding,单一 manifest seed 限制标准 reset,Caller reset seed must equal frozen seed,引入 seed namespace/episode seed grants,Gym/PettingZoo seed tests and paired seed ledger pass,AM-H04,M,OPEN
AM-H09,High,Numeric,非有限数/时间规范不统一,Some metrics/timestamps/free scalars lack canonical finite validators,统一 canonical UTC and finite scalar ingress,NaN/Inf/noncanonical time rejected,AM-B09,M,OPEN
AM-H10,High,Policy export,路径/签名/TOCTOU 合同不闭合,Relative path and signature shape checks insufficient,"PurePosixPath, dirfd/openat, regular-file allowlist, trusted key resolver",Traversal/symlink/device/replay/substitution corpus rejected,AM-B08,XL,OPEN
AM-H11,High,Ablation,Ablation exact one-diff/pair binding 不完整,Current ledger covers subset and weak pairing,Generic six-ablation manifest and post-terminal binding,Exactly one capability diff; no result leakage,AM-B11,L,OPEN
AM-H12,High,Agentic RAG,无 production evidence-to-formal orchestration,Strong Tavily/LLM components remain disconnected,"实现 retrieval plan, claim graph, contradiction, assumptions, critics",Conflicting evidence produces typed resolution/clarification,"AM-B03,AM-B05",XL,OPEN
AM-H13,High,RAG Security,缺 prompt-injection 端到端防线,Retrieved content can contain malicious instructions,Untrusted parser/capability isolation/injection corpus,Injection containment tests pass with no secret/tool escalation,AM-H12,L,OPEN
AM-H14,High,Methods,方法配对未完整绑定 model/prompt/budget/tools,Capability booleans and weak pair coverage,Signed exact method and pair manifests,Any model/prompt/budget/tool drift fails preflight,AM-B11,L,OPEN
AM-H15,High,Statistics,十 seed 未由真实 power engine 验证,Prereg declares 10 but power implementation absent,实现 design power and prereg revision rule,Selected seed/pair design satisfies frozen power bounds,AM-B10,L,OPEN
